name_kr,name_us,name_jp,release_date,genre,kr_local,kr_chat,us_local,us_chat,jp_local,jp_chat,kr_url,us_url,jp_url
Goat Simulator 3,,,2026/4/1,"Action, Adventure, Simulation",True,True,False,False,False,False,https://store.nintendo.co.kr/70010000115434,,
REANIMAL,,REANIMAL（リアニマル）,2026/2/13,"Adventure, Puzzle",True,True,False,False,True,True,https://store.nintendo.co.kr/70010000109879,,https://store-jp.nintendo.com/item/software/D70010000101809
마리오 테니스 피버,Mario Tennis™ Fever,マリオテニス フィーバー,2026/2/12,Sports,True,False,True,True,True,False,https://store.nintendo.co.kr/70010000105871,https://www.nintendo.com/us/store/products/mario-tennis-fever-switch-2/,https://store-jp.nintendo.com/item/software/D70010000105866
TOKYO SCRAMBLE,TOKYO SCRAMBLE,TOKYO SCRAMBLE,2026/2/12,"Action, Adventure, Puzzle",True,True,True,True,True,True,https://store.nintendo.co.kr/70010000101003,https://www.nintendo.com/us/store/products/tokyo-scramble-switch-2/,https://store-jp.nintendo.com/item/software/D70010000101002
SUPER BOMBERMAN COLLECTION - Nintendo Switch 2 Edition,SUPER BOMBERMAN COLLECTION - Nintendo Switch 2 Edition,スーパーボンバーマン コレクション Nintendo Switch 2 Edition,2026/2/6,"Party, Arcade",True,True,True,True,True,True,https://store.nintendo.co.kr/70010000113452,https://www.nintendo.com/us/store/products/super-bomberman-collection-nintendo-switch-2-edition-switch-2/,https://store-jp.nintendo.com/item/software/D70010000113450
4PGP - Nintendo Switch 2 Edition,4PGP - Nintendo Switch 2 Edition,4PGP - Nintendo Switch 2 Edition,2026/2/5,"Party, Sports, Arcade, Racing",True,True,True,True,True,True,https://store.nintendo.co.kr/70010000110107,https://www.nintendo.com/us/store/products/4pgp-nintendo-switch-2-edition-switch-2/,https://store-jp.nintendo.com/item/software/D70010000110104
돌연변이특공대 닌자거북이: 스플린터의 운명(Teenage Mutant Ninja Turtles: Splintered Fate) Nintendo Switch 2 Edition,Teenage Mutant Ninja Turtles: Splintered Fate – Nintendo Switch 2 Edition,Teenage Mutant Ninja Turtles スプリンターの運命 Nintendo Switch 2 Edition,2025/12/18,"Action, Adventure, Party, Fighting",True,True,True,True,True,True,https://store.nintendo.co.kr/70010000112489,https://www.nintendo.com/us/store/products/teenage-mutant-ninja-turtles-splintered-fate-nintendo-switch-2-edition-switch-2/,https://store-jp.nintendo.com/item/software/D70010000112488
수박게임 플래닛,Suika Game Planet,スイカゲーム ぷらねっと,2025/12/18,"Party, Puzzle",True,False,True,True,True,False,https://store.nintendo.co.kr/70010000104130,https://www.nintendo.com/us/store/products/suika-game-planet-switch-2/,https://store-jp.nintendo.com/item/software/D70010000104128
Cast n Chill - Nintendo Switch 2 Edition,Cast n Chill - Nintendo Switch™ 2 Edition,Cast n Chill - Nintendo Switch 2 Edition,2025/12/18,"RPG, Sports, Simulation",True,True,True,True,True,True,https://store.nintendo.co.kr/70010000112307,https://www.nintendo.com/us/store/products/cast-n-chill-nintendo-switch-2-edition-switch-2/,https://store-jp.nintendo.com/item/software/D70010000112305
Storm Lancers – Nintendo Switch 2 Edition,,,2025/12/11,"Action, Adventure, Party",True,True,False,False,False,False,https://store.nintendo.co.kr/70010000109993,,
